Year,Race,TrackType,Driver,Team,GridPosition,QualifyingPosition,RacePosition,Status,TopSpeed,NetPositionGain
2022,Bahrain,Permanent,LEC,Ferrari,1,1,1,Finished,299,0
2022,Bahrain,Permanent,SAI,Ferrari,3,3,2,Finished,301,1
2022,Bahrain,Permanent,HAM,Mercedes,5,5,3,Finished,300,2
2022,Bahrain,Permanent,RUS,Mercedes,9,9,4,Finished,300,5
2022,Bahrain,Permanent,MAG,Haas F1 Team,7,7,5,Finished,305,2
2022,Bahrain,Permanent,BOT,Alfa Romeo,6,6,6,Finished,306,0
2022,Bahrain,Permanent,OCO,Alpine,11,11,7,Finished,301,4
2022,Bahrain,Permanent,TSU,AlphaTauri,16,16,8,Finished,307,8
2022,Bahrain,Permanent,ALO,Alpine,8,8,9,Finished,299,-1
2022,Bahrain,Permanent,ZHO,Alfa Romeo,15,15,10,Finished,298,5
2022,Bahrain,Permanent,MSC,Haas F1 Team,12,12,11,Finished,302,1
2022,Bahrain,Permanent,STR,Aston Martin,19,19,12,Finished,292,7
2022,Bahrain,Permanent,ALB,Williams,14,14,13,Finished,303,1
2022,Bahrain,Permanent,RIC,McLaren,18,18,14,Finished,296,4
2022,Bahrain,Permanent,NOR,McLaren,13,13,15,Finished,301,-2
2022,Bahrain,Permanent,LAT,Williams,20,20,16,Finished,308,4
2022,Bahrain,Permanent,HUL,Aston Martin,17,17,17,Finished,297,0
2022,Bahrain,Permanent,PER,Red Bull Racing,4,4,18,Fuel pressure,302,
2022,Bahrain,Permanent,VER,Red Bull Racing,2,2,19,Fuel pressure,301,
2022,Bahrain,Permanent,GAS,AlphaTauri,10,10,20,Power Unit,298,
2022,Saudi Arabia,Street,VER,Red Bull Racing,4,4,1,Finished,314,3
2022,Saudi Arabia,Street,LEC,Ferrari,2,2,2,Finished,317,0
2022,Saudi Arabia,Street,SAI,Ferrari,3,3,3,Finished,307,0
2022,Saudi Arabia,Street,PER,Red Bull Racing,1,1,4,Finished,318,-3
2022,Saudi Arabia,Street,RUS,Mercedes,6,6,5,Finished,308,1
2022,Saudi Arabia,Street,OCO,Alpine,5,5,6,Finished,306,-1
2022,Saudi Arabia,Street,NOR,McLaren,11,11,7,Finished,322,4
2022,Saudi Arabia,Street,GAS,AlphaTauri,9,9,8,Finished,309,1
2022,Saudi Arabia,Street,MAG,Haas F1 Team,10,10,9,Finished,308,1
2022,Saudi Arabia,Street,HAM,Mercedes,15,16,10,Finished,309,5
2022,Saudi Arabia,Street,ZHO,Alfa Romeo,12,13,11,Finished,309,1
2022,Saudi Arabia,Street,HUL,Aston Martin,17,18,12,Finished,310,5
2022,Saudi Arabia,Street,STR,Aston Martin,13,15,13,+1 Lap,316,
2022,Saudi Arabia,Street,ALB,Williams,16,17,14,Collision damage,329,
2022,Saudi Arabia,Street,BOT,Alfa Romeo,8,8,15,Cooling system,332,
2022,Saudi Arabia,Street,ALO,Alpine,7,7,16,Water pump,322,
2022,Saudi Arabia,Street,RIC,McLaren,14,12,17,Gearbox,304,
2022,Saudi Arabia,Street,LAT,Williams,18,19,18,Accident,323,
2022,Saudi Arabia,Street,TSU,AlphaTauri,19,20,19,Power Unit,,
2022,Saudi Arabia,Street,MSC,Haas F1 Team,,14,,Withdrew,,
2022,Australia,Hybrid,LEC,Ferrari,1,1,1,Finished,320,0
2022,Australia,Hybrid,PER,Red Bull Racing,3,3,2,Finished,313,1
2022,Australia,Hybrid,RUS,Mercedes,6,6,3,Finished,307,3
2022,Australia,Hybrid,HAM,Mercedes,5,5,4,Finished,307,1
2022,Australia,Hybrid,NOR,McLaren,4,4,5,Finished,304,-1
2022,Australia,Hybrid,RIC,McLaren,7,7,6,Finished,305,1
2022,Australia,Hybrid,OCO,Alpine,8,8,7,Finished,309,1
2022,Australia,Hybrid,BOT,Alfa Romeo,12,12,8,Finished,312,4
2022,Australia,Hybrid,GAS,AlphaTauri,11,11,9,Finished,306,2
2022,Australia,Hybrid,ALB,Williams,20,16,10,Finished,312,10
2022,Australia,Hybrid,ZHO,Alfa Romeo,14,14,11,Finished,310,3
2022,Australia,Hybrid,STR,Aston Martin,19,20,12,Finished,309,7
2022,Australia,Hybrid,MSC,Haas F1 Team,15,15,13,+1 Lap,310,
2022,Australia,Hybrid,MAG,Haas F1 Team,16,17,14,+1 Lap,309,
2022,Australia,Hybrid,TSU,AlphaTauri,13,13,15,+1 Lap,308,
2022,Australia,Hybrid,LAT,Williams,18,19,16,+1 Lap,312,
2022,Australia,Hybrid,ALO,Alpine,10,10,17,+1 Lap,313,
2022,Australia,Hybrid,VER,Red Bull Racing,2,2,18,Fuel leak,312,
2022,Australia,Hybrid,VET,Aston Martin,17,18,19,Accident,309,
2022,Australia,Hybrid,SAI,Ferrari,9,9,20,Spun off,,
2022,Emilia Romagna,Permanent,VER,Red Bull Racing,1,1,1,Finished,310,0
2022,Emilia Romagna,Permanent,PER,Red Bull Racing,3,7,2,Finished,309,1
2022,Emilia Romagna,Permanent,NOR,McLaren,5,3,3,Finished,301,2
2022,Emilia Romagna,Permanent,RUS,Mercedes,11,11,4,Finished,305,7
2022,Emilia Romagna,Permanent,BOT,Alfa Romeo,7,8,5,Finished,303,2
2022,Emilia Romagna,Permanent,LEC,Ferrari,2,2,6,Finished,311,-4
2022,Emilia Romagna,Permanent,TSU,AlphaTauri,12,16,7,Finished,305,5
2022,Emilia Romagna,Permanent,VET,Aston Martin,13,9,8,Finished,304,5
2022,Emilia Romagna,Permanent,MAG,Haas F1 Team,8,4,9,Finished,303,-1
2022,Emilia Romagna,Permanent,STR,Aston Martin,15,15,10,+1 Lap,306,
2022,Emilia Romagna,Permanent,ALB,Williams,18,20,11,+1 Lap,315,
2022,Emilia Romagna,Permanent,GAS,AlphaTauri,17,17,12,+1 Lap,304,
2022,Emilia Romagna,Permanent,HAM,Mercedes,14,13,13,+1 Lap,328,
2022,Emilia Romagna,Permanent,OCO,Alpine,16,19,14,+1 Lap,303,
2022,Emilia Romagna,Permanent,ZHO,Alfa Romeo,0,14,15,+1 Lap,303,
2022,Emilia Romagna,Permanent,LAT,Williams,19,18,16,+1 Lap,310,
2022,Emilia Romagna,Permanent,MSC,Haas F1 Team,10,12,17,+1 Lap,320,
2022,Emilia Romagna,Permanent,RIC,McLaren,6,6,18,+1 Lap,302,
2022,Emilia Romagna,Permanent,ALO,Alpine,9,5,19,Collision damage,,
2022,Emilia Romagna,Permanent,SAI,Ferrari,4,10,20,Collision,,
2022,Miami,Street,VER,Red Bull Racing,3,3,1,Finished,319,2
2022,Miami,Street,LEC,Ferrari,1,1,2,Finished,321,-1
2022,Miami,Street,SAI,Ferrari,2,2,3,Finished,317,-1
2022,Miami,Street,PER,Red Bull Racing,4,4,4,Finished,319,0
2022,Miami,Street,RUS,Mercedes,12,12,5,Finished,313,7
2022,Miami,Street,HAM,Mercedes,6,6,6,Finished,317,0
2022,Miami,Street,BOT,Alfa Romeo,5,5,7,Finished,317,-2
2022,Miami,Street,OCO,Alpine,20,20,8,Finished,318,12
2022,Miami,Street,ALB,Williams,18,18,9,Finished,321,9
2022,Miami,Street,STR,Aston Martin,0,10,10,Finished,344,-10
2022,Miami,Street,ALO,Alpine,11,11,11,Finished,312,0
2022,Miami,Street,TSU,AlphaTauri,9,9,12,Finished,322,-3
2022,Miami,Street,RIC,McLaren,14,14,13,Finished,330,1
2022,Miami,Street,LAT,Williams,19,19,14,Finished,309,5
2022,Miami,Street,MSC,Haas F1 Team,15,15,15,Finished,315,0
2022,Miami,Street,MAG,Haas F1 Team,16,16,16,Front wing,341,
2022,Miami,Street,VET,Aston Martin,0,13,17,Collision,329,
2022,Miami,Street,GAS,AlphaTauri,7,7,18,Suspension,318,
2022,Miami,Street,NOR,McLaren,8,8,19,Collision,337,
2022,Miami,Street,ZHO,Alfa Romeo,17,17,20,Water leak,335,
2022,Spain,Permanent,VER,Red Bull Racing,2,2,1,Finished,299,1
2022,Spain,Permanent,PER,Red Bull Racing,5,5,2,Finished,303,3
2022,Spain,Permanent,RUS,Mercedes,4,4,3,Finished,328,1
2022,Spain,Permanent,SAI,Ferrari,3,3,4,Finished,306,-1
2022,Spain,Permanent,HAM,Mercedes,6,6,5,Finished,319,1
2022,Spain,Permanent,BOT,Alfa Romeo,7,7,6,Finished,318,1
2022,Spain,Permanent,OCO,Alpine,12,12,7,Finished,298,5
2022,Spain,Permanent,NOR,McLaren,11,11,8,Finished,319,3
2022,Spain,Permanent,ALO,Alpine,20,17,9,+1 Lap,315,
2022,Spain,Permanent,TSU,AlphaTauri,13,13,10,+1 Lap,304,
2022,Spain,Permanent,VET,Aston Martin,16,16,11,+1 Lap,321,
2022,Spain,Permanent,RIC,McLaren,9,9,12,+1 Lap,302,
2022,Spain,Permanent,GAS,AlphaTauri,14,14,13,+1 Lap,302,
2022,Spain,Permanent,MSC,Haas F1 Team,10,10,14,+1 Lap,299,
2022,Spain,Permanent,STR,Aston Martin,17,18,15,+1 Lap,300,
2022,Spain,Permanent,LAT,Williams,19,20,16,+2 Laps,306,
2022,Spain,Permanent,MAG,Haas F1 Team,8,8,17,+2 Laps,295,
2022,Spain,Permanent,ALB,Williams,18,19,18,+2 Laps,308,
2022,Spain,Permanent,ZHO,Alfa Romeo,15,15,19,Power loss,299,
2022,Spain,Permanent,LEC,Ferrari,1,1,20,Turbo,305,
2022,Monaco,Street,PER,Red Bull Racing,3,3,1,Finished,281,2
2022,Monaco,Street,SAI,Ferrari,2,2,2,Finished,283,0
2022,Monaco,Street,VER,Red Bull Racing,4,4,3,Finished,270,1
2022,Monaco,Street,LEC,Ferrari,1,1,4,Finished,283,-3
2022,Monaco,Street,RUS,Mercedes,6,6,5,Finished,281,1
2022,Monaco,Street,NOR,McLaren,5,5,6,Finished,282,-1
2022,Monaco,Street,ALO,Alpine,7,7,7,Finished,278,0
2022,Monaco,Street,HAM,Mercedes,8,8,8,Finished,281,0
2022,Monaco,Street,BOT,Alfa Romeo,12,12,9,Finished,277,3
2022,Monaco,Street,VET,Aston Martin,9,9,10,Finished,286,-1
2022,Monaco,Street,GAS,AlphaTauri,17,17,11,Finished,289,6
2022,Monaco,Street,OCO,Alpine,10,10,12,Finished,279,-2
2022,Monaco,Street,RIC,McLaren,14,14,13,Finished,287,1
2022,Monaco,Street,STR,Aston Martin,18,18,14,Finished,286,4
2022,Monaco,Street,LAT,Williams,19,19,15,+1 Lap,291,
2022,Monaco,Street,ZHO,Alfa Romeo,20,20,16,+1 Lap,285,
2022,Monaco,Street,TSU,AlphaTauri,11,11,17,+1 Lap,285,
2022,Monaco,Street,ALB,Williams,16,16,18,Mechanical,287,
2022,Monaco,Street,MSC,Haas F1 Team,15,15,19,Accident,,
2022,Monaco,Street,MAG,Haas F1 Team,13,13,20,Water pressure,,
2022,Azerbaijan,Street,VER,Red Bull Racing,3,3,1,Finished,325,2
2022,Azerbaijan,Street,PER,Red Bull Racing,2,2,2,Finished,324,0
2022,Azerbaijan,Street,RUS,Mercedes,5,5,3,Finished,312,2
2022,Azerbaijan,Street,HAM,Mercedes,7,7,4,Finished,315,3
2022,Azerbaijan,Street,GAS,AlphaTauri,6,6,5,Finished,318,1
2022,Azerbaijan,Street,VET,Aston Martin,9,9,6,Finished,324,3
2022,Azerbaijan,Street,ALO,Alpine,10,10,7,Finished,328,3
2022,Azerbaijan,Street,RIC,McLaren,12,12,8,Finished,317,4
2022,Azerbaijan,Street,NOR,McLaren,11,11,9,Finished,315,2
2022,Azerbaijan,Street,OCO,Alpine,13,13,10,Finished,326,3
2022,Azerbaijan,Street,BOT,Alfa Romeo,15,15,11,+1 Lap,317,
2022,Azerbaijan,Street,ALB,Williams,17,17,12,+1 Lap,323,
2022,Azerbaijan,Street,TSU,AlphaTauri,8,8,13,+1 Lap,322,
2022,Azerbaijan,Street,MSC,Haas F1 Team,20,20,14,+1 Lap,319,
2022,Azerbaijan,Street,LAT,Williams,18,18,15,+1 Lap,321,
2022,Azerbaijan,Street,STR,Aston Martin,19,19,16,Vibrations,323,
2022,Azerbaijan,Street,MAG,Haas F1 Team,16,16,17,Power Unit,324,
2022,Azerbaijan,Street,ZHO,Alfa Romeo,14,14,18,Hydraulics,333,
2022,Azerbaijan,Street,LEC,Ferrari,1,1,19,Power Unit,318,
2022,Azerbaijan,Street,SAI,Ferrari,4,4,20,Hydraulics,324,
2022,Canada,Hybrid,VER,Red Bull Racing,1,1,1,Finished,309,0
2022,Canada,Hybrid,SAI,Ferrari,3,3,2,Finished,324,1
2022,Canada,Hybrid,HAM,Mercedes,4,4,3,Finished,309,1
2022,Canada,Hybrid,RUS,Mercedes,8,8,4,Finished,306,4
2022,Canada,Hybrid,LEC,Ferrari,19,15,5,Finished,312,14
2022,Canada,Hybrid,OCO,Alpine,7,7,6,Finished,310,1
2022,Canada,Hybrid,BOT,Alfa Romeo,11,11,7,Finished,333,4
2022,Canada,Hybrid,ZHO,Alfa Romeo,10,10,8,Finished,336,2
2022,Canada,Hybrid,ALO,Alpine,2,2,9,Finished,326,-7
2022,Canada,Hybrid,STR,Aston Martin,17,18,10,Finished,310,7
2022,Canada,Hybrid,RIC,McLaren,9,9,11,Finished,308,-2
2022,Canada,Hybrid,VET,Aston Martin,16,17,12,Finished,315,4
2022,Canada,Hybrid,ALB,Williams,12,12,13,Finished,321,-1
2022,Canada,Hybrid,GAS,AlphaTauri,15,16,14,Finished,336,1
2022,Canada,Hybrid,NOR,McLaren,14,14,15,Finished,331,-1
2022,Canada,Hybrid,LAT,Williams,18,19,16,Finished,316,2
2022,Canada,Hybrid,MAG,Haas F1 Team,5,5,17,Finished,310,-12
2022,Canada,Hybrid,TSU,AlphaTauri,20,20,18,Accident,312,
2022,Canada,Hybrid,MSC,Haas F1 Team,6,6,19,Engine,309,
2022,Canada,Hybrid,PER,Red Bull Racing,13,13,20,Gearbox,341,
2022,United Kingdom,Permanent,VER,Red Bull Racing,2,3,1,Finished,328,1
2022,United Kingdom,Permanent,HAM,Mercedes,3,5,2,Finished,298,1
2022,United Kingdom,Permanent,LEC,Ferrari,12,2,3,Finished,300,9
2022,United Kingdom,Permanent,PER,Red Bull Racing,9,4,4,Finished,304,5
2022,United Kingdom,Permanent,RUS,Mercedes,4,6,5,Finished,301,-1
2022,United Kingdom,Permanent,NOR,McLaren,6,8,6,Finished,328,0
2022,United Kingdom,Permanent,ALO,Alpine,14,9,7,Finished,305,7
2022,United Kingdom,Permanent,VET,Aston Martin,10,12,8,Finished,299,2
2022,United Kingdom,Permanent,MAG,Haas F1 Team,13,16,9,Finished,297,4
2022,United Kingdom,Permanent,TSU,AlphaTauri,19,15,10,Finished,326,9
2022,United Kingdom,Permanent,OCO,Alpine,0,18,11,Finished,300,-11
2022,United Kingdom,Permanent,ZHO,Alfa Romeo,18,14,12,Finished,299,6
2022,United Kingdom,Permanent,ALB,Williams,8,11,13,Finished,307,-5
